"YEAR","WEEK","ALABAMA","ALASKA","ARIZONA","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DELAWARE","DISTRICT.OF.COLUMBIA","FLORIDA","GEORGIA","HAWAII","IDAHO","ILLINOIS","INDIANA","IOWA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEBRASKA","NEVADA","NEW.HAMPSHIRE","NEW.JERSEY","NEW.MEXICO","NEW.YORK","NORTH.CAROLINA","NORTH.DAKOTA","OHIO","OKLAHOMA","OREGON","PENNSYLVANIA","RHODE.ISLAND","SOUTH.CAROLINA","SOUTH.DAKOTA","TENNESSEE","TEXAS","UTAH","VERMONT","VIRGINIA","WASHINGTON","WEST.VIRGINIA","WISCONSIN","WYOMING","PUERTO.RICO","TIME"
1966,"45",5,0,11,3,133,1,13,0,2,9,7,0,10,21,9,7,0,14,4,7,15,9,34,3,3,30,1,1,0,2,19,9,0,8,2,24,2,24,28,1,4,0,10,41,1,1,8,0,4,6,0,33,1966-11-07
1966,"46",12,2,11,5,113,7,20,1,3,6,4,2,3,32,16,14,2,16,12,9,17,11,39,7,10,6,4,0,0,0,24,2,0,6,0,25,8,22,38,2,1,0,21,49,3,2,20,15,13,9,0,16,1966-11-14
1966,"47",5,0,7,2,114,5,10,1,3,4,101,2,10,9,11,10,2,10,4,11,16,15,55,1,7,16,3,0,0,1,33,20,0,6,0,18,3,37,21,11,0,0,11,16,3,0,9,8,4,10,2,23,1966-11-21
1966,"48",12,1,9,3,115,6,7,2,0,10,12,0,24,25,13,12,3,24,3,3,20,13,54,7,9,4,11,0,1,0,29,26,0,4,0,16,8,27,34,4,1,0,26,41,3,1,7,22,4,25,2,23,1966-11-28
1966,"49",4,1,10,3,115,5,11,4,2,10,26,0,2,24,2,1,2,13,14,10,16,25,39,9,4,30,4,1,0,1,24,19,0,5,8,31,5,21,19,1,3,0,26,44,10,0,14,17,5,33,0,28,1966-12-05
1966,"50",11,0,6,4,94,1,8,1,2,7,11,0,8,24,11,3,11,22,9,2,21,9,59,14,9,36,0,0,0,0,12,24,0,7,1,18,5,29,85,1,2,0,12,32,9,0,15,11,6,17,1,14,1966-12-12
1966,"51",1,0,9,1,92,2,15,5,0,0,3,0,5,26,8,10,7,4,7,3,12,20,53,8,7,17,3,1,0,1,19,9,0,3,0,23,1,28,47,1,0,0,14,27,5,1,16,11,9,17,0,0,1966-12-19
1966,"52",7,1,31,1,112,2,10,9,0,9,9,0,3,21,9,8,5,6,10,1,13,14,38,11,2,3,0,1,0,1,13,11,0,8,3,18,3,35,29,8,0,0,15,30,2,0,4,18,2,9,0,17,1966-12-26
1967,"01",10,1,7,2,106,0,6,0,1,2,23,0,0,6,0,5,0,22,0,12,14,16,51,4,3,8,5,0,0,1,18,7,0,3,1,11,0,41,33,16,3,0,11,35,3,1,8,0,9,8,1,0,1967-01-02
1967,"02",3,0,16,5,116,1,13,2,1,5,14,2,8,16,1,10,7,39,7,5,21,16,62,2,7,28,5,3,0,1,17,11,0,2,2,31,2,39,22,6,1,0,14,44,5,0,22,19,13,8,0,0,1967-01-09
1967,"03",11,1,9,7,121,3,13,2,0,14,6,0,5,20,5,1,5,30,9,3,18,9,55,13,7,13,4,0,0,1,21,43,0,6,0,22,4,36,31,7,0,0,21,51,8,0,4,17,11,13,0,2,1967-01-16
1967,"04",8,0,6,8,96,3,12,5,0,8,9,1,3,16,21,4,1,14,5,5,24,16,63,13,12,0,1,1,0,1,21,26,0,5,1,30,7,45,28,3,5,1,25,69,3,0,14,16,15,18,6,4,1967-01-23
1967,"05",7,0,7,1,134,0,6,2,1,2,67,4,9,23,10,12,11,41,10,8,32,27,58,6,5,35,2,1,0,4,20,9,0,6,0,24,5,23,14,1,1,0,21,53,1,1,7,26,10,15,2,13,1967-01-30
1967,"06",10,2,0,5,135,11,5,3,0,8,12,1,5,27,25,14,8,16,10,0,28,21,54,4,4,26,0,1,0,4,8,3,0,7,1,34,9,35,33,4,4,0,33,47,2,0,17,23,7,24,0,8,1967-02-06
1967,"07",11,1,11,15,133,13,17,3,1,16,16,1,8,50,13,6,3,39,5,3,33,19,44,8,14,17,4,0,2,0,29,12,0,14,1,25,3,22,24,4,0,0,20,93,10,1,25,7,5,10,2,35,1967-02-13
1967,"08",4,0,7,6,103,5,16,1,0,12,19,0,14,30,9,12,2,27,8,4,20,20,34,10,10,56,0,1,0,0,9,14,0,19,0,26,12,15,30,0,2,2,19,59,4,0,10,35,11,12,3,19,1967-02-20
1967,"09",6,0,5,8,156,3,4,2,1,14,7,1,6,25,28,8,0,40,12,3,20,20,44,8,7,42,1,0,0,0,26,2,0,11,0,17,11,35,49,2,2,1,17,59,8,2,7,18,0,12,1,25,1967-02-27
1967,"10",3,1,15,1,145,7,6,4,1,15,29,0,4,53,9,17,0,28,8,3,17,16,27,15,4,15,4,1,8,1,19,23,0,7,0,34,5,28,24,3,1,0,18,102,0,0,12,22,8,6,2,11,1967-03-06
1967,"11",5,0,6,3,134,1,11,0,0,15,20,0,7,52,10,16,7,11,17,3,25,9,36,6,7,52,3,4,1,1,22,8,0,10,0,43,3,13,36,9,3,0,11,49,6,0,17,12,13,19,2,21,1967-03-13
1967,"12",5,2,0,0,140,7,4,3,1,6,9,0,1,29,22,0,2,28,7,5,15,27,49,11,20,63,6,0,0,1,103,11,0,7,2,21,3,16,37,0,1,0,21,58,6,1,19,12,9,18,8,16,1967-03-20
1967,"13",5,0,4,3,147,16,14,0,0,10,38,0,5,28,35,2,6,15,10,7,18,14,41,13,15,24,8,3,0,3,55,0,0,5,2,20,3,14,39,7,3,1,18,56,8,0,20,30,6,11,1,26,1967-03-27
1967,"14",3,0,6,2,109,2,9,4,2,10,3,0,2,45,17,13,1,17,7,7,11,18,23,8,1,41,5,0,3,1,18,11,0,7,0,25,4,14,24,4,1,1,16,60,0,0,5,15,5,9,2,20,1967-04-03
1967,"15",12,1,7,3,127,3,3,1,0,17,23,0,0,38,14,2,4,23,11,2,19,22,43,13,12,38,5,3,1,1,42,14,0,9,1,36,2,9,38,5,1,0,14,67,1,0,30,13,8,10,0,35,1967-04-10
1967,"16",20,1,3,9,110,0,4,0,0,15,16,4,2,4,11,5,3,35,10,3,31,27,41,1,10,28,3,1,1,2,19,6,0,11,2,30,1,17,27,0,1,0,17,38,2,0,8,13,8,6,0,29,1967-04-17
1967,"17",9,0,11,5,124,3,15,3,1,7,9,0,4,39,27,9,3,18,9,2,10,12,21,5,7,35,5,1,0,0,21,14,0,4,2,26,5,18,45,3,0,0,15,80,2,0,23,15,7,5,0,29,1967-04-24
1967,"18",0,2,5,2,140,3,11,7,0,16,17,0,1,37,19,9,2,12,7,5,13,7,39,17,15,26,2,3,1,0,70,1,0,3,4,19,10,17,34,1,0,1,16,60,1,1,8,8,9,6,2,9,1967-05-01
1967,"19",8,0,11,2,121,16,11,2,1,14,6,0,1,30,9,9,2,27,8,1,17,17,51,13,6,59,3,2,0,3,22,6,0,8,1,28,4,18,28,3,1,0,15,68,2,2,32,15,1,3,1,16,1967-05-08
1967,"20",9,0,8,1,142,11,12,7,1,12,26,0,3,35,8,8,4,14,12,3,17,10,42,13,10,35,0,0,0,1,27,5,0,2,1,31,4,12,41,6,1,1,18,78,17,1,26,72,4,9,2,20,1967-05-15
1967,"21",6,0,11,2,119,7,6,1,2,23,11,0,0,46,16,2,2,9,15,1,7,18,33,7,9,25,2,0,0,2,31,7,0,10,0,20,3,13,22,3,10,0,12,39,0,0,30,37,8,14,0,13,1967-05-22
1967,"22",0,1,3,0,104,3,12,10,0,20,14,0,0,32,5,2,3,10,8,6,9,7,19,2,5,14,0,0,0,0,12,3,0,6,1,17,2,10,13,4,1,0,14,56,2,0,0,18,4,19,4,14,1967-05-29
1967,"23",6,0,2,3,146,6,4,10,0,13,25,0,0,34,11,2,5,14,7,2,10,7,33,9,11,23,1,0,0,0,21,6,0,1,5,19,4,8,37,5,0,1,12,64,2,0,8,1,4,11,5,31,1967-06-05
1967,"24",3,0,7,3,141,4,18,5,0,23,8,1,1,30,7,1,2,25,11,3,26,13,30,4,10,23,2,1,0,0,18,48,0,5,0,22,2,15,32,0,0,0,12,42,9,0,15,14,3,5,2,19,1967-06-12
1967,"25",2,5,3,4,137,6,5,3,1,14,7,0,2,36,7,5,5,15,11,3,14,13,25,13,8,29,1,0,0,1,12,10,0,9,1,26,9,6,21,3,2,0,18,66,4,0,14,8,5,9,5,23,1967-06-19
1967,"26",2,0,8,0,152,10,9,1,0,6,10,0,2,21,6,2,3,13,11,3,17,8,30,9,13,39,3,1,0,1,14,3,0,8,0,20,1,11,29,9,0,0,19,55,0,1,9,25,2,6,0,25,1967-06-26
1967,"27",4,1,6,3,106,2,12,2,0,9,24,0,0,19,6,4,4,5,0,0,12,9,18,11,5,14,6,4,0,0,12,6,0,6,0,16,5,18,13,0,4,0,7,43,4,0,32,13,1,5,0,8,1967-07-03
1967,"28",1,0,13,2,150,6,5,1,2,12,2,0,3,45,3,5,0,7,6,3,15,12,32,7,10,30,10,1,0,3,21,4,0,3,0,25,5,12,24,1,3,0,11,46,4,0,17,19,10,8,0,24,1967-07-10
1967,"29",3,0,0,3,121,16,18,2,3,15,0,4,0,34,8,10,9,21,15,3,21,13,23,8,12,28,3,0,0,0,13,10,0,8,0,20,5,8,11,2,1,0,15,42,2,0,6,2,2,4,0,7,1967-07-17
1967,"30",8,2,5,4,132,6,3,4,0,9,13,3,0,39,5,7,1,8,8,3,10,13,16,9,10,24,2,0,0,1,19,4,0,14,1,19,9,17,30,4,3,0,14,56,2,0,6,15,5,5,0,19,1967-07-24
1967,"31",5,0,9,3,154,0,8,3,2,19,14,0,0,43,6,7,9,13,13,1,14,17,33,3,6,11,2,1,0,0,41,4,0,5,0,20,6,16,28,3,2,0,9,44,3,0,9,18,4,5,2,18,1967-07-31
1967,"32",5,0,14,4,175,0,6,1,2,25,19,1,7,17,5,3,5,9,15,1,16,16,34,2,0,22,1,1,0,1,28,3,0,8,0,14,4,14,21,4,2,0,18,58,2,0,13,15,6,4,1,16,1967-08-07
1967,"33",3,0,3,1,142,12,7,1,2,7,39,0,1,46,9,5,0,19,16,1,20,0,38,2,7,26,2,1,0,0,13,5,0,4,3,27,7,10,22,3,4,0,16,48,0,1,15,24,3,8,0,17,1967-08-14
1967,"34",5,2,8,3,178,14,10,4,2,21,15,2,0,25,12,1,4,10,15,1,20,8,30,11,8,12,0,4,0,0,20,8,0,3,0,17,6,14,27,0,0,0,21,51,1,0,19,26,3,4,2,33,1967-08-21
1967,"35",6,0,6,1,146,7,17,0,0,20,19,0,3,12,9,4,5,2,13,2,7,9,30,3,1,16,0,0,0,0,24,2,0,9,1,51,13,12,13,2,1,0,18,47,2,0,7,15,4,6,1,36,1967-08-28
1967,"36",5,2,14,16,130,1,6,3,0,7,16,0,7,36,3,3,11,11,16,5,11,26,34,10,3,9,8,1,0,0,20,0,0,2,0,11,4,12,12,7,3,1,10,37,1,0,11,10,1,5,0,14,1967-09-04
1967,"37",6,2,14,34,180,3,18,5,3,11,16,1,3,34,7,8,11,55,14,1,21,18,37,13,9,26,4,1,0,0,17,3,0,11,2,18,1,20,50,7,2,0,13,63,2,0,7,13,5,12,0,14,1967-09-11
1967,"38",8,1,4,7,177,8,20,12,0,14,10,1,1,15,6,8,3,14,15,2,17,22,33,11,13,23,4,0,0,0,24,4,0,7,0,26,2,6,28,6,5,0,7,51,9,0,7,8,9,1,0,49,1967-09-18
1967,"39",5,0,1,30,181,0,16,5,1,12,30,5,1,44,8,5,6,71,19,2,21,12,45,18,15,15,6,1,0,2,23,27,0,6,2,35,14,20,39,0,0,0,9,64,0,1,11,25,15,5,0,30,1967-09-25
1967,"40",11,1,6,6,182,0,8,12,1,33,16,0,0,25,21,6,0,12,14,7,12,20,36,8,20,42,11,2,0,0,27,11,0,8,0,23,11,5,28,8,7,0,18,59,2,1,5,16,4,5,0,11,1967-10-02
1967,"41",0,0,10,10,166,0,15,0,1,6,15,0,1,4,10,5,4,16,27,1,8,15,34,9,15,16,2,3,3,2,21,13,0,5,1,45,4,20,14,4,4,1,14,40,0,0,13,11,9,4,0,11,1967-10-09
1967,"42",3,1,5,13,185,4,15,6,1,7,18,0,1,62,14,7,4,24,13,2,13,19,29,8,10,24,3,2,0,2,34,6,0,7,0,27,15,13,34,5,3,0,26,41,5,0,13,20,10,2,0,31,1967-10-16
1967,"43",9,0,4,4,166,19,16,3,1,21,5,1,1,18,18,1,6,23,12,2,22,13,53,10,8,12,2,3,0,0,27,3,0,2,0,31,8,11,26,1,2,0,13,56,1,0,20,13,13,5,1,14,1967-10-23
1967,"44",2,0,11,7,168,1,7,8,1,8,50,4,1,39,9,7,3,11,10,6,9,9,37,10,9,19,5,2,0,1,20,6,0,8,0,25,1,9,34,2,1,1,14,29,0,0,13,0,10,9,2,17,1967-10-30
1967,"45",1,0,3,9,168,3,8,2,1,12,6,0,0,32,16,5,6,21,12,1,20,17,23,3,7,24,3,2,0,0,20,26,0,9,2,37,1,14,32,1,9,0,17,35,3,0,16,7,16,3,1,15,1967-11-06
1967,"46",7,0,4,1,180,11,27,2,0,11,41,3,0,58,5,10,3,52,9,4,9,10,33,15,6,18,4,3,0,0,19,4,0,5,2,34,3,16,40,3,6,0,11,58,1,1,4,10,16,12,0,23,1967-11-13
1967,"47",3,4,9,4,112,7,13,1,0,8,2,1,3,18,27,7,6,16,19,1,15,9,36,7,14,2,0,1,1,0,65,5,0,1,0,46,3,9,19,5,0,0,17,38,2,0,14,32,7,11,0,25,1967-11-20
