"YEAR","WEEK","ALABAMA","ALASKA","ARIZONA","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DELAWARE","DISTRICT.OF.COLUMBIA","FLORIDA","GEORGIA","HAWAII","IDAHO","ILLINOIS","INDIANA","IOWA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEBRASKA","NEVADA","NEW.HAMPSHIRE","NEW.JERSEY","NEW.MEXICO","NEW.YORK","NORTH.CAROLINA","NORTH.DAKOTA","OHIO","OKLAHOMA","OREGON","PENNSYLVANIA","RHODE.ISLAND","SOUTH.CAROLINA","SOUTH.DAKOTA","TENNESSEE","TEXAS","UTAH","VERMONT","VIRGINIA","WASHINGTON","WEST.VIRGINIA","WISCONSIN","WYOMING","PUERTO.RICO","TIME"
2007,"30",54,87,58,152,1851,0,244,69,106,1355,6,0,3,430,0,1,201,66,0,0,343,368,274,0,0,295,0,0,143,21,0,0,0,551,2,85,314,0,657,81,1130,77,492,1290,105,0,0,171,53,238,16,0,2007-07-30
2007,"31",37,104,51,0,845,145,214,49,146,1146,4,0,120,692,448,154,182,0,0,0,316,323,320,0,0,267,17,144,218,4,0,0,0,307,7,77,287,262,443,67,863,39,577,0,77,1,354,91,44,252,31,84,2007-08-06
2007,"32",0,86,48,173,1512,0,308,140,102,1770,9,0,0,499,391,0,158,94,366,61,574,0,331,1,0,314,0,0,144,37,157,0,0,1234,0,54,302,141,527,39,736,42,486,896,0,2,445,187,0,240,0,0,2007-08-13
2007,"33",25,68,45,289,1144,339,337,47,139,1236,0,0,0,488,373,145,126,188,278,39,415,411,0,0,506,267,0,0,155,43,191,0,0,200,0,83,415,0,439,79,777,64,513,1175,140,30,485,87,37,220,7,547,2007-08-20
2007,"34",0,86,103,256,1218,0,0,57,99,1438,5,0,0,728,336,106,222,222,133,41,369,294,0,0,350,362,0,0,0,58,238,0,0,121,0,81,419,0,582,62,797,0,499,1143,118,4,463,150,30,170,12,152,2007-08-27
2007,"35",0,72,66,0,1306,313,261,64,0,1359,0,0,0,466,354,160,150,283,198,57,429,314,325,0,0,345,0,0,0,37,0,0,0,1092,3,136,0,234,0,73,644,79,515,0,128,17,544,150,25,152,17,121,2007-09-03
2007,"36",0,52,41,0,1163,191,75,37,82,1011,13,0,0,0,300,131,171,239,109,41,387,292,305,0,144,211,0,0,0,34,166,0,0,162,0,84,252,146,448,0,250,30,472,0,83,8,360,134,25,113,22,0,2007-09-10
2007,"37",0,75,65,208,1008,239,0,54,0,1352,4,0,0,599,407,0,174,301,225,55,403,289,337,1,0,308,0,0,154,52,203,0,0,1905,4,117,311,127,576,33,901,65,586,1532,130,23,499,133,23,181,22,77,2007-09-17
2007,"38",28,85,46,231,1621,202,325,45,95,1360,2,4,0,518,407,0,237,197,129,64,369,373,340,0,0,227,0,0,12,0,146,0,0,614,0,67,236,0,444,32,447,60,721,0,0,29,624,139,17,238,14,271,2007-09-24
2007,"39",0,67,46,224,1059,0,0,85,107,1189,0,4,44,499,314,183,223,148,210,0,286,241,353,0,0,300,0,0,239,39,185,0,0,441,3,79,205,171,414,98,201,52,591,1074,0,0,533,145,18,136,0,117,2007-10-01
